course_name,prerequisites,corequisites
GSC 5340L - Quaternary Geology Laboratory (1),"GSC 323, GSC 3230 or Instructor Consent.",GSC 5340 .
GSC 5450 - Advanced Hydrogeology (2),"MAT 1050 , MAT 112, MAT 114, MAT 1140 , MAT 115, MAT 1150 , or MAT 116; MAT 1060 , MAT 112, MAT 114, MAT 1140 , MAT 115, MAT 1150 , or MAT 116; and GSC 360 or GSC 3600 .",GSC 5450L .
GSC 5330 - Advanced Topics in Structural Geology and Tectonics (2),Graduate standing in Geology MS Program.,GSC 5330L .
GSC 5450L - Advanced Hydrogeology Laboratory (1),"MAT 1050 , MAT 112, MAT 114, MAT 1140 , MAT 115, MAT 1150 , MAT 116, GSC 307, GSC 3070 , GSC 450, or GSC 4500 ; and MAT 1060 , MAT 112, MAT 114, MAT 1140 , MAT 115, MAT 1150 , MAT 116; and GSC 360 or GSC 3600 .",GSC 5450 .
GSC 4990L - Special Topics for Upper Division Students Laboratory (1-3),,
GSC 4990 - Special Topics for Upper Division Students (1-3),,
GSC 5330L - Advanced Topics in Structural Geology and Tectonics Laboratory (1),"MAT 1050 , MAT 112, MAT 114, MAT 1140 , MAT 115, MAT 1150 , MAT 116, GSC 307, GSC 3070 , GSC 450, or GSC 4500 ; and MAT 1060 , MAT 112, MAT 114, MAT 1140 , MAT 115, MAT 1150 , MAT116.",GSC 5330 .
GSC 4910L - Field Module Laboratory (1-2),GSC 255 or GSC 2550L .,
GSC 4950 - Planetary Science (3),"MAT 1050 , MAT 112, MAT 114, MAT 1140 , MAT 115, MAT 1150 , or MAT 116; MAT 1060 , MAT 112, MAT 114, MAT 1140 , MAT 115, MAT 1150 , or MAT 116; and GSC111, GSC 1110 , GSC116, GSC 1160 , GSC307 or GSC 3070 .",
GSC 4800 - Quantitative and Computer Skills in the Geosciences (3),"MAT 114, MAT 1140 , MAT 115, MAT 1150 or MAT 116.",
GSC 4700L - Volcanology Laboratory (1),"MAT 1050 and MAT 1060 , or MAT 112, MAT 114, MAT 1140 , MAT 1140C, MAT 115, MAT 1150 , MAT 1150C, or MAT 116; GSC 111, or GSC 1110 ; and GSC 141L or GSC 1410L .",GSC 4700 .
GSC 4700 - Volcanology (2),"MAT 1050 and MAT 1060 , or MAT 112, MAT 114, MAT 1140 , MAT 1140C, MAT 115, MAT 1150 , MAT 1150C, or MAT 116; GSC 111, or GSC 1110 ; and GSC 141L or GSC 1410L .",GSC 4700L .
"GSC 4500L - Introduction to Seismology, Earthquakes and Earth Structure Laboratory (1)","MAT 1050 and MAT 1060 , or MAT 112, MAT 114, MAT 1140 , MAT 1140C, MAT 115, MAT 1150 , MAT 1150C, or MAT 116; and GSC 307, GSC 3070 , GSC 111, or GSC 1110 .",GSC 4500 .
GSC 4340L - Shallow Subsurface Geophysics Laboratory (1),"MAT 1050 , MAT 112, MAT 114, MAT 1140 , MAT 115, MAT 1150 , MAT 116, GSC 307, GSC 3070 , GSC 450, or GSC 4500 ; and MAT 1060 , MAT 112, MAT 114, MAT 1140 , MAT 115, MAT 1150 , MAT 116, GSC 307, GSC 3070 , GSC 450, or GSC 4500 .",GSC 4340 .
GSC 4440L - Tectonics Laboratory (1),GSC 111 or GSC 1110 ; GSC 215 or GSC 2150 ; and GSC 215L or GSC 2150L .,GSC 4400 .
"GSC 4500 - Introduction to Seismology, Earthquakes and Earth Structure (2)","MAT 1050 and MAT 1060 , or MAT 112, MAT114, MAT 1140 , MAT 1140C, MAT115, MAT 1150 , MAT 1150C, or MAT116; and GSC307, GSC 3070 , GSC111, or GSC 1110 .",GSC 4500L .
GSC 4440 - Tectonics (2),GSC 111 or GSC 1110 ; GSC 141L or GSC 1410L ; GSC 333 or GSC 3330 ; and GSC 333L or GSC 3330L .,GSC 4440L .
GSC 4240 - Igneous and Metamorphic Petrology (2),GSC 215 or GSC 2150 ; and GSC 215L or GSC 2150L .,GSC 4240L .
GSC 4340 - Shallow Subsurface Geophysics (2),"MAT 1050 and MAT 1060 , or MAT112, MAT114, MAT 1140 , MAT115, MAT 1150 , MAT116, GSC307, GSC 3070 , GSC450, GSC 4500 .",GSC 4340L .
GSC 4320L - Soil Physics Laboratory (1),"GSC 141L, GSC 1410L , PLT 231 or PLT 2310 ; and Upper Division or Graduate standing.",GSC 4320 .
GSC 4320 - Soil Physics (2),"GSC 141L, GSC 1410L , PLT 231 or PLT 2310 ; and Upper Division or Graduate Standing.",GSC 4320L .
GSC 4240L - Igneous and Metamorphic Petrology Laboratory (2),GSC 215 or GSC 2150 ; and GSC 215L or GSC 2150L .,GSC 4240 .
GSC 4230L - Sedimentary Geology Laboratory (1),"GSC 111 or GSC 1110 ; GSC 141L or GSC 1410L ; and GSC 325L, GSC 215L or GSC 2150L .",GSC 4230 .
GSC 4010L - GIS Applications for Earth and Environmental Scientists Laboratory (2),,
GSC 4230 - Sedimentary Geology (2),"GSC 111 or GSC 1110 ; GSC 141L or GSC 1410L ; and GSC 325L, GSC 215L or GSC 2150L .",GSC 4230L .
GSC 4150 - Engineering Geology II (2),"GSC 111 and GSC 141L, GSC 1110 and GSC 1410L , GSC 321 and GSC 321L or GSC 3210 and GSC 3210L .",GSC 4150L .
GSC 4010 - GIS Applications for Earth and Environmental Scientists (1),,
GSC 4150L - Engineering Geology II Laboratory (1),"GSC111/141L, GSC 1110 / GSC 1410L , GSC321/321L or GSC 3210 / GSC 3210L .",GSC 4150 .
GSC 6930 - Master's Thesis Proposal (1),Graduate standing in Geology MS program.,
HST 5570 - Contemporary Historiography (3),Graduate standing.,
GSC 5030L - Field Investigations Laboratory (1),Upper Division or Graduate standing.,
GSC 5010 - Advanced Topics in Geosciences (2),Graduate standing in Geology MS program.,
HST 5561 - Readings in Modern U.S. History (3),History graduate standing.,
"GSC 4100 - Presentation, Writing and Research Skills in the Geosciences (2)",Upper Division or Graduate standing.,
HST 5571 - Digital Research Project in Historiography (1),History graduate standing.,
HST 5544 - Advanced Digital Research Project in World History (1),Graduate standing.,
HST 5562 - Readings in California History (3),History graduate standing.,
HST 5502 - Advanced Digital Research Project in History Methods (1),History graduate standing.,
HRT 5740 - Advanced Hospitality Accounting Management (3),,
HST 5501 - Advanced Graduate Methods (3),History graduate standing.,
HST 5560 - Readings in Early U.S. History (3),History graduate standing.,
HRT 5000 - Special Study for Graduate Students (1-3),,
HST 5564 - Advanced Digital Research Project in United States History (1),History graduate standing.,
HRT 6100 - Strategic Leadership in the Hospitality Environment (3),,
HST 5541 - Reading in World History from 1500 (3),History graduate standing.,
HST 5540 - Readings in World History to 1500 (3),History graduate standing.,
HRT 6030 - Hospitality Strategic Marketing (3),,
HRT 5410 - Graduate Internship in Hospitality Management (1-3),,
HRT 5250 - Advanced Hotel/Resort Management (3),,
INA 6120 - Business Strategies for Interior Architects (3),INA Graduate Standing.,
HRT 6760 - Hospitality Service Management (3),,
HRT 6500 - Human Resource Management in the Hospitality Industry (3),,
INA 5210 - Interior Architecture Studio B (4),"INA Graduate Standing. INA 601 or INA 5110 , and INA 661 or INA 5120 .",
HRT 6040 - Advanced Hospitality Financial Management (3),,
HRT 6020 - Research Applications and Data Analysis in Hospitality Management (3),,
INA 5230 - Interior Detailing and Building Systems (4),INA Graduate Standing.,
INA 5220 - Research and Programming Methodologies (3),,
INA 5110 - Interior Architecture Studio A (4),INA Graduate Standing.,
HRT 6010 - Research Methods in Hospitality Management (3),,
INA 5130 - Understanding Building Codes (2),INA Graduate Standing.,
KIN 5530 - Curriculum in Physical Education (3),Graduate standing.,
INA 5120 - Concept Driven Design (3),INA Graduate Standing.,
KIN 5700 - Management of Adapted Physical Education Programs (2),Graduate standing.,
KIN 5830L - Advanced Exercise Physiology Laboratory (1),KIN303 or KIN 3030 ; KIN 303L or KIN 3030L or equivalent.,KIN 5830 .
KIN 5830 - Advanced Exercise Physiology (3),KIN303 or KIN 3030 ; KIN 303L or KIN 3030L or equivalent.,KIN 5830L .
KIN 5590 - Contemporary Physical Education (3),Graduate standing.,
KIN 5550 - Analysis of Teaching in Physical Education (3),Graduate standing.,
KIN 4320S - Behavior Intervention and Support Plans in Adapted Physical Education Service Learning (3),"KIN 206S or KIN 2460S ; KIN 206AS or KIN 2460AS , or equivalent course, or Instructor Consent.",
KIN 5750S - Motor Practicum for Individuals with Disabilities Service Learning (1),Graduate standing.,KIN 5750AS .
LA 5271 - Graduate History of Modern Landscapes (3),<u>Graduate Standing</u>,
KIN 5750AS - Motor Practicum for Individuals with Disabilities Service Learning Activity (1),Graduate standing.,KIN 5750S .
KIN 4330S - Motor Assessment Policies and Procedures in Adapted Physical Education Service Learning (3),KIN 206S or KIN 2460S; KIN 206AS or KIN 2460AS or equivalent course or Instructor Consent; and STA 120 or STA 1200.,KIN 4310A.
LA 4990 - Special Topics for Upper Division Students (1-3),,
KIN 5910 - Research Design (3),Graduate standing.,
KIN 4310AS - Students with Disabilities Field Experiences Service Learning Activity (1),KIN 206S or KIN 2460S ; KIN 206AS or KIN 2460AS or equivalent course or Instructor Consent.,KIN 4330S or KIN 4340 .
LA 5990 - Special Topics for Graduate Students (1-3),Graduate Standing.,
KIN 5900 - Research Methods in Kinesiology (3),KIN 591 or KIN 5910 and Graduate Standing.,
LA 6771 - Research Methods for Environmental Design (3),,
KIN 5520 - Socio-Cultural Perspectives on Kinesiology (3),Graduate standing.,
LA 5261 - Graduate Landscape History I (3),<u>Graduate Standing</u>,
LA 6441 - Plants and Ecology (3),,
LA 4872 - History of International Landscapes (3),Study abroad student.,
LA 4251 - Asian Gardens (3),,
LA 6081L - Design and Planning Project Documentation Laboratory (3),B or better in LA 6071L and LA 6941 ; or Graduate Coordinator approval.,
LA 6941 - Thesis/Project Research (3),B or better in LA 6772 .,
LA 6772 - Finding Problems: Design Proposal Preparation and Public Engagement (3),B or better in LA 6771 or LA 601.,
LA 4782 - Evolving Issues in Environmental Design (3),,
LA 6451 - Coupled Human and Natural Systems (3),B or better in LA 6441 .,
MAT 6910 - Directed Research (1-3),,
MAE 5930 - Research Methods in Mathematics Education (4),,
LA 6121L - Design IV: Design of Complex Systems Laboratory (3),"B or better in LA 6111L or LA 4811L ; B or better in LA 4872 , and B or better in LA 4771 or LA 4873 , or Graduate Coordinator approval.",
LA 5772 - Landscape Architecture Theory (3),<u>Graduate Standing</u>,
LA 4781 - Urban Green Infrastructure (3),,
MAE 5910 - Research in Mathematics Education (4),,
LA 6071L - Integrative Design and Planning Laboratory (3),"B or better in LA 6121L , LA 6451 , LA 6772 and LA 4781 ; or B or better in LA 604, LA 604L, LA 602, and LA 602L; or Graduate Coordinator approval.",
LA 6111L - Design III: Design for Change Laboratory (3),B or better in LA 5121L ; B or better in LA 3581 ; B or better in LA 5581 ; B or better in LA 5771 ; B or better in LA 3611 ; B or better in LA 3621 and B or better in LA 5261 ; or Graduate Coordinator approval.,
LA 4771 - Professional Practice (3),,
MAT 6970 - Comprehensive Examination (1),,
STA 5990 - Special Topics for Graduate Students (1-3),Graduate Standing.,
STA 5250 - Time Series Analysis (3),"STA 2260 , STA 326, IME 3140 , IME 314, or STA 2100 and STA 2200 .",
STA 4300 - Introduction to Random Processes (4),"STA 2200 , STA 2260 , STA 341, or STA 326.",
STA 5320 - Linear Statistical Models (3),STA 4320 and MAT 2250 ; or STA 432 and MAT 2250 ; or STA 4320 and MAT 208; or STA 432 and MAT 208.,
STA 5650 - Multivariate Data Analysis (3),"Graduate standing or STA 2100 , STA 341, STA 2260 , STA 326, TOM 3020 , TOM 302, EC 3322 , EC 322, IME 3140 , or IME 314; and MAT 2250 or MAT 208.",
STA 4700 - Categorical Data Analysis (3),"STA 2100 , STA 341, STA 2260 , STA 326, TOM 3020 , TOM 302, EC 3322 , EC 322, IME 3140 , or IME 314.",
STA 4350 - Analysis of Variance and Design of Experiments (4),"Graduate Standing and STA 2100 , STA 2260 , STA 341, STA 326, TOM 3020 , TOM 302, EC 3322 , EC 322, IME 3140 , or IME 314.",
STA 4250 - Survival Analysis (3),"STA 2100 and STA 2200 , STA 341, STA 2260 , STA 326, IME 3140 , or IME 314.",
STA 4200 - Nonparametric Statistics (3),"STA 2100 , STA 2260 , STA 341, STA 326",
STA 5900 - Supervised Statistical Consulting (2),"STA 4320 , STA 432, STA 4350 , or STA 435.",
STA 5300 - Random Processes (4),STA 430 or STA 4300 .,
MAT 5800 - Optimization Theory and Applications (3),Graduate Standing and C or better in MAT 4800; or consent of instructor.,
STA 4320 - Applied Regression Analysis (4),"Graduate Standing; or STA 2100 , STA 2260 , TOM 3020 , EC 3322 , IME 3140 , STA 341, STA 326, TOM 302, EC 322, or IME 314; and MAT 2250 or MAT 208.",
MAT 4800 - Mathematical Programming (3),MAT 201 or MAT 2010 ; and MAT 380 or MAT 3800 .,
MAT 5080 - Numerical Analysis I (3),"Graduate Standing, and C or better in MAT 3150 and MAT 4010; or consent of instructor.",
STA 4430 - Mathematical Statistics II (3),STA 4400 or MAT 440.,
STA 4400 - Mathematical Statistics I (3),MAT 2140 or MAT 215.,
MAT 5990 - Special Topics for Graduate Students (1-3),Graduate Standing.,
MAT 5460 - Mathematical Modeling II (3),C or better in MAT 5450 or consent of instructor.,
MAT 5450 - Mathematical Modeling I (3),"Graduate Standing, and C or better in MAT 2010, MAT 2250, and MAT 3140; or consent of instructor.",
MAT 4440 - Vector and Tensor Analysis (3),"MAT 2140 and MAT 2250 ; MAT 2140 , MAT 208, and MAT 216; MAT 215 and MAT 2250 ; MAT 215, MAT 208, and MAT 216; MAT 2140 and MAT 2240 ; or MAT 215 and MAT 2240 .",
MAT 5090 - Numerical Analysis II (3),C or better in MAT 5080 or consent of instructor.,
MAT 5290 - Complex Analysis II (3),C or better in MAT 5280 or consent of instructor.,
MAT 4750 - Graph Theory (3),MAT 310 or MAT 3100 .,
MAT 5180 - Abstract Algebra II (3),C or better in MAT 5170 or consent of instructor.,
MAT 4320 - Differential Equations and Dynamical Systems (3),MAT 431 or MAT 4310 .,
MAT 4310 - Differential Equations (3),MAT 2250 or MAT 216 and MAT 208.,
MAT 5010 - Introduction to Mathematical Typesetting (1),,
MAT 4210 - Introduction to Topology (3),MAT 314 or MAT 3140 .,
MAT 4200 - Differential Geometry (3),MAT 208 or MAT 2250 ; and MAT 310 or MAT 3100 ; and MAT 216.,
MAE 5600 - Problem Solving as a Mathematical Endeavor (3),,
MAT 5110 - Real Analysis I (4),Graduate Standing or consent of instructor.,
MAT 5210 - Topology (3),Graduate Standing and C or better in MAT 4210; or consent of instructor.,
MAT 5120 - Real Analysis II (3),C or better in MAT 5110 or consent of instructor.,
PSY 6620 - Supervised Practice (4),Second year graduate standing in PSY MS programs.,PSY 5583 .
MAT 5280 - Complex Analysis I (3),Graduate Standing and C or better in MAT 4280; or consent of instructor.,
MAT 5170 - Abstract Algebra I (3),Graduate Standing or consent of instructor.,
PSY 6606 - Diagnosis and Treatment of Couples and Spousal Abuse (3),"PSY 5515 , PSY 5545 ; and Graduate standing in Psychology MS Program.",
PSY 6970 - Comprehensive Exam (1),Second year graduate standing and consent of instructor.,
PSY 6692 - Independent Study (1),,
PSY 5584 - Practicum IV (2),"Second year status in Psychology MS program and PSY 5583 , or instructor consent.",PSY 6621 .
"PSY 6610 - Substance Use Problems: Individual, Family, and Group Processes (3)",Graduate standing in Psychology MS Program.,
PSY 6621 - Advanced Supervised Practice (4),"C or better in PSY 5583 and PSY 6620 ; or ""I"" grade(s) with letter grade(s) pending.",PSY 5584 .
PSY 5581 - Practicum I (2),"Graduate standing in Psychology MS Program and PSY 5580 , or instructor consent.",
PSY 6607 - Diagnosis and Treatment of Children and Child Abuse (3),"PSY 5515 , PSY 5545 ; and Graduate standing in Psychology MS Program.",
PSY 6605 - Diagnosis and Treatment of the Family/Family Violence (3),Graduate standing in Psychology MS Program.,
PSY 5598 - Human Sexuality (3),Graduate standing in Psychology MS Program,
PSY 5570 - Ethical Issues in Counseling and Family Therapy (3),PSY 5545 ; and Graduate standing in Psychology MS Program or Instructor consent.,
PSY 5583 - Practicum III (2),"Second year status in Psychology MS program and PSY 5582 , or instructor consent.",PSY 6620 .
PSY 5545 - Introduction to Family and Marital Therapy (3),Graduate standing in Psychology MS Program OR Permission of instructor.,
PSY 5582 - Practicum II (1),"PSY 5580 , PSY 5581 and Graduate standing in Psychology MS Program, or instructor consent.",
PSY 5580 - Introduction to Evidence-Based Practice (2),Graduate standing in Psychology MS Program.,
PSY 5515 - Advanced Topics in Human Development (3),Graduate standing in Psychology MS Program OR Permission of instructor.,
PSY 5575 - Multicultural and Gender Issues in Therapy and Recovery Model (3),Graduate standing in Psychology MS Program or Instructor consent.,
PSY 5565L - Advanced Testing and Professional Issues Laboratory (1),Admission to MS program.,PSY 5565 .
MPA 5410 - Internship (1-3),,
PSY 5565 - Advanced Testing and Professional Issues (3),Graduate standing in Psychology MS Program.,PSY 5565L .
PSY 5555 - Psychopathology (3),Graduate standing in Psychology MS Program OR Permission of instructor.,
"MPA 5585 - Urban Governance, Politics, and Administration (3)",,
PSY 5530 - Psychobiology of Mental Disorders (3),Graduate standing in Psychology MS Program OR Permission of instructor.,
PSY 5510 - Research Methods and Statistics (3),Graduate standing in Psychology MS Program OR Permission of instructor.,
MPA 5265 - Crisis /Emergency Management (3),,
MPA 6950 - Project (3),,
MPA 5200 - Intergovernmental Relations (3),,
MPA 5655 - Community Sustainability Policy (3),,
MPA 5605 - Criminal Justice: Politics and Administration (3),,
MPA 6000 - Capstone Seminar for Public Administration (3),,
MPA 5500 - Public Policy Program Evaluation (3),,
MPA 5285 - Leadership in Public Organizations (3),,
MPA 5040 - Research Methods for Public Administration (3),,
MPA 5245 - Non-Governmental Organizations (3),,
MPA 5010 - Public Policy Formation and Implementation (3),,
MPA 5225 - City Management (3),,
MPA 5000 - Special Study for Graduate Students (1-3),,
RS 6950 - Master's Project (3),Graduate Standing; and RS 694 or RS 6940 .,
MPA 5100 - Theories of Public Administration and Democratic Governance (3),,
MPA 5080 - Administrative Ethics and Administrative Law (3),,
RS 6100 - Methods and Applications in Regenerative Studies (2),"RS 520, RS 5200 , or Instructor Consent.",
MPA 5030 - Human Resources in the Public Sector (3),,
MPA 5020 - Public Fiscal Administration (3),,
RS 6960 - Master's Thesis (3),Graduate Standing; and RS 694 or RS 6940 .,
RS 5350 - Regenerative Environments (3),Graduate Standing; RS 510 or RS 5100 ; and RS 520 or RS 5200 .,
RS 6940 - Thesis/Project Research (3),Graduate Standing; and RS 550 or RS 5500 .,
RS 6100L - Methods and Applications in Regenerative Studies Laboratory (1),RS 520 or RS 5200 .,
RS 5500 - Seminar in Research Methods (3),"RS 510 or RS 5100 , and RS 520 or RS 5200 ; or instructor consent.",
RS 5170L - Community Practice Laboratory (1),Graduate Standing.,Concurrent enrollment in RS 5100 and RS 5150
RS 5300 - Regenerative Technology (3),"Graduate standing, RS 510 or RS 5100 ,and RS 520 or RS 5200 .",
SE 5170 - Healthcare Systems Engineering (3),,
RS 5400 - Coalition Building (3),,
RS 5250 - Scientific Foundations in Regeneration (3),Graduate Standing.,"Concurrent enrollment with RS 5100 , RS 5150 , RS 5170L , and RS 5200 ."
SE 5140 - Emergency System and Cyber Security (3),,
RS 5200 - Nature as Model (3),Graduate Standing.,"Concurrent enrollment with RS 5100 , RS 5150 , RS 5170L , and RS 5250 ."
SE 5190 - Operations Research in System Analysis (3),,
RS 5150 - Regenerative Social Practices (3),Graduate Standing.,"Concurrent enrollment with RS 5100 , RS 5170L , RS 5200 , and RS 5250 ."
SE 5180 - Human Systems Interaction (3),,
SE 5130 - System Engineering Life Cycle Design and Management (3),,
RS 5100 - Regenerative Concepts and Applications (3),Graduate Standing.,"Concurrent enrollment with RS 5150 , RS 5170L , RS 5200 , and RS 5250 ."
SE 5160 - Facility Planning System (3),,
SE 5230 - System Architecture (3),,
ME 6960 - Master's Degree Thesis (6),,
SE 5200 - System Simulation for Managers (3),,
SE 5150 - System Sustainability (3),,
ME 5811 - Nanotechnology (3),,
SE 5110 - Advanced Engineering Economics (3),,
SE 5100 - Introduction to Systems Science (3),,
ME 5651 - Biofluid Mechanics (3),,
ME 6950 - Master's Degree Project (2),,
ME 5751 - Robot Motion Planning (3),,
ME 6940 - Master's Thesis/Project Research (1),,
ME 5900 - Solar Energy Systems (3),Graduate standing.,
ME 5731 - Robotic Sensing Technology (3),,
ME 5801 - Micro-Electromechanical System (3),,
ME 5661 - Robot Dynamics and Controls (3),,
ME 5700 - Nonlinear Dynamical Systems (3),Graduate standing.,
ME 5641 - Porous Medium Flow and Heat Transfer (3),,
ME 5431 - Advanced Finite Element Modeling (3),,
ME 5631 - Two Phase Flow and Boiling Heat Transfer (3),,
ME 5741 - Biomechanical Robots (3),,
ME 5721 - Systems and Signals (3),,
ME 5230 - Advanced Classical Dynamics (3),"Graduate standing, or C- or better in ME 316 or ME 4160 .",
ME 5711 - Fundamentals of Robotics (3),,
ME 5910 - Direct Energy Conversion (3),Graduate standing.,
ME 5511 - Engineering Design Optimization (3),,
ME 5400 - Advanced Mechanics of Materials (3),Graduate standing.,
ME 5610 - Advanced Fluid Dynamics (3),Graduate standing.,
ME 5251 - Advanced Continuous Vibrations (3),,
ME 5220 - Fracture of Solids (3),Graduate standing.,
ME 5330 - Radiation Heat Transfer (3),"Graduate standing, or ME 302 and ME 312, or ME 3121 ; and ME 415 or ME 4150 .",
ME 5200 - Elasticity (3),Graduate standing.,
ME 5990 - Special Topics for Graduate Students (1-3),Graduate Standing.,
ME 5300 - Advanced Engineering Thermodynamics (3),Graduate Standing.,
ME 5620 - Computational Fluid Dynamics (3),EGR 509; and ME 5610 or ARO 301.,
ME 5600 - Advanced Transport Phenomena (3),Graduate standing.,
EGR 5130 - Engineering Tensor Analysis (3),,
ME 5340 - Combustion Theory (3),Graduate standing.,
EGR 5100 - Engineering Probability and Statistics (3),,
ME 5320 - Convective Heat Transfer (3),"Graduate standing, or ME 302 and ME 312, or ME 3121 ; and ME 415 or ME 4150 .",
URP 6902 - Capstone Project Preparation - Thesis (1),Advancement to candidacy.,
EGR 5150 - Matrix Methods (3),,
ME 5310 - Conduction Heat Transfer (3),"Graduate standing, or ME 302 and ME 312, or ME 3121 ; and ME 415 or ME 4150 .",
EGR 5140 - Variational Methods in Engineering (3),,
EGR 5120 - Vector Analysis and Complex Variables (3),,
URP 5230 - Policy Analysis and Advanced Research Methods (2),"C- or better in URP 5120 ,or URP 512 and URP 512A.",URP 5230A .
EGR 5110 - Numerical Methods (3),,
EGR 5090 - Advanced Differential Equations for Engineers (3),,
URP 6910 - Directed Research (1-3),,
URP 5230A - Policy Analysis and Advanced Research Methods Activity (1),"C- or better in URP 5120 , or URP 512 and URP 512A.",URP 5230 .
URP 6901 - Capstone Project Preparation - Client Project (1),Advancement to candidacy.,
URP 5380L - Urban Design Laboratory (1),Graduate Standing.,URP 5380 .
URP 5430A - Methods in Leadership and Entrepreneurship Activity (1),Graduate Standing.,URP 5430 .
URP 5430 - Methods in Leadership and Entrepreneurship (2),Graduate Standing.,URP 5430A .
URP 6990 - Master's Degree Continuation (0),,
URP 5350 - Regional Transportation Policy and Planning (3),"Graduate standing; OR C- or better in URP 5120 , or URP 512 and URP 512A.",
URP 5990 - Special Topics for Graduate Students (1-3),Graduate Standing.,
URP 5410 - Field Internship (1-2),Instructor Consent.,
URP 5250 - GIS for Planning (2),Graduate standing.,URP 5250L .
URP 5380 - Urban Design (2),Graduate Standing.,URP 5380L .
URP 5370 - Environmental Policy (3),Graduate Standing.,
URP 4980 - Advanced Planning Studio (2),,URP 4980L .
URP 5340A - Urban Housing and Community Development Activity (1),Graduate standing.,URP 5340 .
URP 5340 - Urban Housing and Community Development (2),Graduate standing.,URP 5340A .
URP 4900L - Advanced GIS Laboratory (1),Graduate standing or C- or better in URP 1200L .,URP 4900 .
URP 5250L - GIS for Planning Laboratory (1),Graduate standing.,URP 5250 .
URP 4990 - Special Topics for Upper Division Students (1-3),,
URP 4980L - Advanced Planning Studio Laboratory (1-3),,URP 4980 .
URP 4890 - Transportation Methods and Analysis (2),"Graduate standing; OR C- or better in URP 3320 and URP 3320L , or URP 332 and URP 332L.",URP 4890L .
URP 4910A - Planning for Climate Change Activity (1),Graduate standing or C- or better in URP 3380 .,URP 4910 .
URP 4910 - Planning for Climate Change (2),Graduate standing or C- or better in URP 3380 .,URP 4910A .
URP 4900 - Advanced GIS (2),Graduate standing or C- or better in URP 1200L .,URP 4900L .
URP 4850 - Urban Design Principles and Techniques (2),"Graduate standing; OR C- or better in URP 2020 and URP 2020A , or URP 202 and URP 202L.",URP 4850L .
URP 4890L - Transportation Methods and Analysis Laboratory (1),"Graduate standing; OR C- or better in URP 3320 and URP 3320L , or URP 332 and URP 332L.",URP 4890 .
URP 4880L - Local Transportation Laboratory (1),"Graduate standing; OR C- or better in URP 3370 and URP 3370L , or URP 337 and URP 337L.",URP 4880 .
URP 4880 - Local Transportation (2),"Graduate standing; OR C- or better in URP 3370 and URP 3370L , or URP 337 and URP 337L.",URP 4880L .
URP 4830 - Development Processes (2),"Graduate standing; OR C- or better in URP 3510 and URP 3510A , or URP 351.",URP 4830A .
URP 4850L - Urban Design Principles and Techniques Laboratory (1),"Graduate standing; OR C- or better in URP 2020 and URP 2020A , or UPR 202 and URP 202L.",URP 4850 .
URP 4840A - Neighborhood Development Activity (1),,URP 4840 .
URP 4760 - International Planning (3),,
URP 4840 - Neighborhood Development (2),,URP 4840A .
URP 4820 - California Water (3),"Lower division GE requirements in Areas A and D, and sub-area B4.",
URP 4830A - Development Processes Activity (1),"Graduate standing; OR C- or better in URP 3510 and URP 3510A , or URP 351.",URP 4830 .
URP 4510A - Land Use and Urban Design Policy Activity (1),"Graduate standing; OR C- or better in URP 2020 and URP 2020A , or UPR 202 and URP 202L.",URP 4510 .
URP 4780L - GIS Applications in Planning Studio Laboratory (1),Graduate standing or C- or better in URP 1200L .,URP 4780 .
URP 4780 - GIS Applications in Planning Studio (2),Graduate standing or C- or better in URP 1200L .,URP 4780L .
URP 4750 - Planning in a Global Economy (3),"Lower division GE requirements in Areas A and D, and sub-area B4.",
URP 4370 - Planning for Infrastructure (3),"Graduate standing; OR C- or better in URP 3370 and URP 3370L , or URP 337 and URP 337.",
URP 4660 - Environmental Assessment (3),"Graduate standing; OR C- or better in URP 3510 and URP 3510A , or URP 351.",
URP 4510 - Land Use and Urban Design Policy (2),"Graduate standing; OR C- or better in URP 2020 and URP 2020A , or URP 202 and URP 202L.",URP 4510A .
URP 4390 - Infrastructure Finance (3),"Graduate standing; OR C- or better in EC 2201 or EC 201; and C- or better in URP 3370 and URP 3370L , or URP 337 and URP 337L.",
URP 4330 - Affordable Housing Seminar (3),"C- or better in URP 1040 and URP 1040L , or URP 104; C- or better in URP 2010 and URP 2010L , or URP 299 and URP 299L; and C- or better in URP 3310 and URP 3310L , or UPR 331.",
URP 4380 - Land Use Entitlements (3),"Graduate standing; OR C- or better in URP 3030 and URP 3030L , or URP 203 and URP 203L; and C- or better in URP 3510 and URP 3510A .",
URP 4360 - Public Finance (3),"Graduate standing; OR C- or better in EC 2201 or EC 201; and C- or better in URP 3340 and URP 3340L , or URP 334 and URP 334A.",
"URP 4210A - Planning Advocacy, Community Organizing and Social Change Activity (1)","C- or better in URP 1050 , C- or better in URP 101 and URP 101A, or graduate standing.",URP 4210 .
URP 4240 - Public Participation (3),,
URP 4340A - Community Development and Housing Activity (1),"C- or better in URP 1040 and URP 1040L , or URP 104; C- or better in URP 2010 and URP 2010L , or URP 299 and URP 299L; and C- or better in URP 3310 and URP 3310L , or URP 331.",
URP 4230 - Planning for Minority Communities (3),,
URP 4220 - The Just City (3),"Graduate standing; or Lower division GE requirements in Areas A and D, and sub-area B4.",
