course_name,prerequisites,corequisites
STA 5900 - Supervised Statistical Consulting (2),"C or better in STA 4320 , STA 432, STA 4350 , or STA 435.",
STA 4320 - Applied Regression Analysis (4),"Graduate standing; OR C or better in STA 2100 , STA 2260 , TOM 3020 , EC 3322 , IME 3140 , STA 341, STA 326, TOM 302, EC 322, or IME 314; and MAT 2240 , MAT 2250 , or MAT 208.",
STA 5300 - Random Processes (4),"Graduate standing and C or better in STA 4300 , or consent of instructor.",
STA 4400 - Mathematical Statistics I (3),C or better in MAT 2140 or MAT 215.,
STA 5320 - Linear Statistical Models (3),"Graduate standing and C or better in STA 4320 , or consent of instructor.",
MAT 5450 - Mathematical Modeling I (3),Graduate Standing.,
STA 4430 - Mathematical Statistics II (3),C or better in STA 4400 or MAT 440.,
MAT 5080 - Numerical Analysis I (4),Graduate Standing and MAT 4010 .,
MAT 4800 - Introduction to Nonlinear Optimization (3),"C or beter in MAT 2010 ; and C or better in MAT 2140 , and MAT 2240 or MAT 2250 ; OR graduate standing.",
MAT 5990 - Special Topics for Graduate Students (1-3),Graduate Standing.,
MAT 5460 - Mathematical Modeling II (3),Graduate Standing.,
MAT 4310 - Dynamical Systems (3),"C or better in MAT 2250, or MAT 216 and MAT 208.",
MAT 4440 - Vector and Tensor Analysis (3),"C or better in MAT 2140 and MAT 2250 ; MAT 2140 , MAT 208, and MAT 216; MAT 215 and MAT 2250 ; MAT 215, MAT 208, and MAT 216; MAT 2140 and MAT 2240 ; or MAT 215 and MAT 2240 .",
MAT 5090 - Numerical Analysis II (3),Graduate Standing and MAT 5080 .,
MAT 4750 - Graph Theory (3),C or better in MAT 310 or MAT 3100 .,
MAT 5290 - Complex Analysis II (3),Graduate Standing and MAT 5280 .,
MAT 4320 - Introduction to Partial Differential Equations (3),C or better in MAT 431 or MAT 4310 .,
MAT 5210 - Topology (3),Graduate Standing and MAT 4210 .,
MAT 4210 - Introduction to Topology (3),C or better in MAT 314 or MAT 3140 .,
MAT 5010 - Introduction to Mathematical Typesetting (1),Graduate Standing.,
MAT 4200 - Differential Geometry (3),C or better in MAT 208 or MAT 2250 ; and MAT 310 or MAT 3100 ; and MAT 216.,
MAE 5600 - Problem Solving as a Mathematical Endeavor (3),,
MAT 5170 - Abstract Algebra I (3),Graduate standing and a C or better in undergraduate course in abstract algebra comparable to MAT 4170 ; or consent of instructor.,
PSY 6692 - Independent Study (1),,
MAT 5180 - Abstract Algebra II (3),"Graduate standing and C or better in MAT 5170 , or consent of instructor.",
"PSY 6610 - Substance Use Problems: Individual, Family, and Group Processes (3)",Graduate standing in Psychology MS Program or permission of instructor.,
MAT 5120 - Real Analysis II (3),Graduate Standing and MAT 5110 .,
PSY 6607 - Diagnosis and Treatment of Children and Child Abuse (3),"PSY 5515 , PSY 5545 ; and Graduate standing in Psychology MS Program.",
MAT 5280 - Complex Analysis I (3),Graduate Standing and MAT 4280 .,
MAT 5110 - Real Analysis I (4),Graduate standing and a C or better in an undergraduate course in real analysis comparable to MAT 3140 ; or consent of instructor.,
PSY 6605 - Diagnosis and Treatment of the Family/Family Violence (3),"PSY 5515 , PSY 5545 , and Graduate standing in Psychology MS Program.",
PSY 5584 - Practicum IV (2),"Second year status in Psychology MS program and PSY 5583 , or instructor consent.",PSY 6621 .
PSY 5580 - Introduction to Evidence-Based Practice (3),Graduate standing in Psychology MS Program.,
PSY 6621 - Advanced Supervised Practice (4),"C or better in PSY 5583 and PSY 6620 ; or ""I"" grade(s) with letter grade(s) pending.",PSY 5584 .
PSY 6620 - Supervised Practice (4),Second year Graduate standing in PSY MS programs.,PSY 5583 .
PSY 5575 - Multicultural and Gender Issues in Therapy and Recovery Model (3),Graduate standing in Psychology MS Program or permission of instructor.,
PSY 6606 - Diagnosis and Treatment of Couples and Spousal Abuse (3),"PSY 5515 , PSY 5545 ; and Graduate standing in Psychology MS Program.",
PSY 5598 - Human Sexuality (3),Graduate standing in Psychology MS Program,
PSY 5570 - Ethical Issues in Counseling and Family Therapy (3),Graduate standing in Psychology MS Program or permission of instructor.,
PSY 5555 - Psychopathology (3),Graduate standing in Psychology MS Program or permission of instructor.,
PSY 5583 - Practicum III (2),"Second year status in Psychology MS program and PSY 5582 , or instructor consent.",PSY 6620 .
PSY 5515 - Advanced Topics in Human Development (3),Graduate standing in Psychology MS Program or permission of instructor.,
PSY 5581 - Practicum I (2),"Graduate standing in Psychology MS Program and PSY 5580 , or instructor consent.",
PSY 5510 - Research Methods and Statistics (3),Graduate standing in Psychology MS Program or permission of instructor.,
PSY 5565L - Advanced Testing and Professional Issues Laboratory (1),Admission to MS program.,PSY 5565 .
ME 6950 - Master's Degree Project (2),,
PSY 5565 - Advanced Testing and Professional Issues (3),Graduate standing in Psychology MS Program.,PSY 5565L .
ME 5990 - Special Topics for Graduate Students (1-3),Graduate Standing.,
PSY 5545 - Introduction to Family and Marital Therapy (3),Graduate standing in Psychology MS Program or permission of instructor.,
ME 5811 - Nanotechnology (3),Graduate standing.,
PSY 5530 - Psychobiology of Mental Disorders (3),Graduate standing in Psychology MS Program or permission of instructor.,
ME 5700 - Nonlinear Dynamical Systems (3),Graduate standing.,
ME 6960 - Master's Degree Thesis (3),,
ME 5641 - Porous Medium Flow and Heat Transfer (3),Graduate standing.,
ME 6940 - Master's Thesis/Project Research (1),,
ME 5741 - Biomechanical Robots (3),Graduate standing.,
ME 5900 - Solar Energy Systems (3),Graduate standing.,
ME 5711 - Fundamentals of Robotics (3),Graduate standing.,
ME 5801 - Micro-Electromechanical System (3),Graduate standing.,
ME 5511 - Engineering Design Optimization (3),Graduate standing.,
ME 5651 - Biofluid Mechanics (3),Graduate standing.,
ME 5400 - Advanced Mechanics of Materials (3),Graduate standing.,
ME 5751 - Robot Motion Planning (3),Graduate standing.,
ME 5910 - Direct Energy Conversion (3),Graduate standing.,
ME 5230 - Advanced Classical Dynamics (3),Graduate standing or ME 4160 .,
ME 5731 - Robotic Sensing Technology (3),Graduate standing.,
ME 5661 - Robot Dynamics and Controls (3),Graduate standing.,
ME 5610 - Advanced Fluid Dynamics (3),Graduate standing.,
ME 5431 - Advanced Finite Element Modeling (3),Graduate standing.,
ME 5620 - Computational Fluid Dynamics (3),Graduate standing.,
ME 5251 - Advanced Continuous Vibrations (3),Graduate standing.,
ME 5320 - Convective Heat Transfer (3),Graduate standing.,
ME 5300 - Advanced Engineering Thermodynamics (3),Graduate Standing.,
ME 5220 - Fracture of Solids (3),Graduate standing.,
ME 5631 - Two Phase Flow and Boiling Heat Transfer (3),Graduate standing.,
ME 5600 - Advanced Transport Phenomena (3),Graduate standing.,
ME 5200 - Elasticity (3),Graduate standing.,
ME 5340 - Combustion Theory (3),Graduate standing.,
ME 5330 - Radiation Heat Transfer (3),Graduate standing.,
RS 6940 - Thesis/Project Research (3),Graduate Standing; and RS 550 or RS 5500 .,
ME 5310 - Conduction Heat Transfer (3),Graduate standing.,
RS 6100L - Methods and Applications in Regenerative Studies Laboratory (1),RS 520 or RS 5200 .,
ME 5721 - Systems and Signals (3),Graduate standing.,
RS 5400 - Coalition Building (3),,
EGR 5110 - Numerical Methods (3),,
RS 5300 - Regenerative Technology (3),"Graduate standing, RS 510 or RS 5100 ,and RS 520 or RS 5200 .",
EGR 5090 - Advanced Differential Equations for Engineers (3),,
RS 6100 - Methods and Applications in Regenerative Studies (2),"RS 520, RS 5200 , or Instructor Consent.",
RS 5200 - Nature as Model (3),Graduate Standing.,"Concurrent enrollment with RS 5100 , RS 5150 , RS 5170L , and RS 5250 ."
RS 5500 - Seminar in Research Methods (3),"RS 510 or RS 5100 , and RS 520 or RS 5200 ; or instructor consent.",
RS 5150 - Regenerative Social Practices (3),Graduate Standing.,"Concurrent enrollment with RS 5100 , RS 5170L , RS 5200 , and RS 5250 ."
MPA 6960 - Master's Thesis (3),,
RS 5350 - Regenerative Environments (3),Graduate Standing; RS 510 or RS 5100 ; and RS 520 or RS 5200 .,
MPA 5410 - Internship (1-3),,
MPA 5655 - Community Sustainability Policy (3),,
RS 5170L - Community Practice Laboratory (1),Graduate Standing.,Concurrent enrollment in RS 5100 and RS 5150
RS 5250 - Scientific Foundations in Regeneration (3),Graduate Standing.,"Concurrent enrollment with RS 5100 , RS 5150 , RS 5170L , and RS 5200 ."
MPA 6970 - Comprehensive Examination (3),,
"MPA 5585 - Urban Governance, Politics, and Administration (3)",,
MPA 5500 - Public Policy Program Evaluation (3),,
RS 5100 - Regenerative Concepts and Applications (3),Graduate Standing.,"Concurrent enrollment with RS 5150 , RS 5170L , RS 5200 , and RS 5250 ."
MPA 6950 - Project (3),,
MPA 5605 - Criminal Justice: Politics and Administration (3),,
MPA 5225 - City Management (3),,
MPA 5245 - Non-Governmental Organizations (3),,
MPA 5285 - Leadership in Public Organizations (3),,
MPA 5265 - Crisis /Emergency Management (3),,
MPA 5080 - Public Service Ethics (3),,
MPA 5100 - Theories of Public Administration and Democratic Governance (3),,
MPA 5255 - Administrative Law (3),Graduate standing.,
MPA 5200 - Intergovernmental Relations (3),,
MPA 5020 - Public Fiscal Administration (3),,
MPA 5030 - Human Resources in the Public Sector (3),,
MPA 5000 - Special Study for Graduate Students (1-3),,
EDD 7330 - Data-Driven Assessment and Evaluation in Postsecondary Education (3),Admission to the Doctoral Program.,
"EDD 7320 - Teaching, Learning and Student Success in Postsecondary Settings (3)",Admission to the Doctoral Program.,
MPA 6000 - Capstone Seminar for Public Administration (3),,
MPA 5050 - Qualitative Research Methods for Public Administration (3),Graduate standing.,
URP 6902 - Capstone Project Preparation - Thesis (1),Advancement to candidacy.,
MPA 5040 - Research Methods for Public Administration (3),,
URP 6950 - Client Project (3),C- or better in URP 6901 and Advancement to candidacy.,
MPA 5010 - Public Policy Formation and Implementation (3),,
URP 6901 - Capstone Project Preparation - Client Project (1),Advancement to candidacy.,
"EDD 7340 - Organizational Culture, Leadership and Change in Postsecondary Education (3)",Admission into the Doctoral Program.,
URP 5430 - Methods in Leadership and Entrepreneurship (2),Graduate Standing.,URP 5430A .
URP 6960 - Master's Thesis (3),C- or better in URP 6902 and Advancement to candidacy.,
URP 5230 - Policy Analysis and Advanced Research Methods (2),"C- or better in URP 5120 ,or URP 512 and URP 512A.",URP 5230A .
URP 6910 - Directed Research (1-3),,
URP 5410 - Field Internship (1-2),Instructor Consent.,
URP 5230A - Policy Analysis and Advanced Research Methods Activity (1),"C- or better in URP 5120 , or URP 512 and URP 512A.",URP 5230 .
URP 5430A - Methods in Leadership and Entrepreneurship Activity (1),Graduate Standing.,URP 5430 .
URP 5380 - Urban Design (2),Graduate Standing.,URP 5380L .
URP 5990 - Special Topics for Graduate Students (1-3),Graduate Standing.,
URP 5370 - Environmental Policy (3),Graduate Standing.,
URP 6990 - Master's Degree Continuation (0),,
URP 5350 - Regional Transportation Policy and Planning (3),"Graduate standing; OR C- or better in URP 5120 , or URP 512 and URP 512A.",
URP 5250L - GIS for Planning Laboratory (1),Graduate standing.,URP 5250 .
URP 5380L - Urban Design Laboratory (1),Graduate Standing.,URP 5380 .
URP 4990 - Special Topics for Upper Division Students (1-3),,
URP 5340A - Urban Housing and Community Development Activity (1),Graduate standing.,URP 5340 .
URP 4980 - Advanced Planning Studio (2),,URP 4980L .
URP 5340 - Urban Housing and Community Development (2),Graduate standing.,URP 5340A .
URP 4910A - Planning for Climate Change Activity (1),Graduate standing or C- or better in URP 3380 .,URP 4910 .
URP 5250 - GIS for Planning (2),Graduate standing.,URP 5250L .
URP 4900L - Advanced GIS Laboratory (1),Graduate standing or C- or better in URP 1200L .,URP 4900 .
URP 4980L - Advanced Planning Studio Laboratory (1-3),,URP 4980 .
URP 4890L - Transportation Methods and Analysis Laboratory (1),"Graduate standing; OR C- or better in URP 3320 and URP 3320L , or URP 332 and URP 332L.",URP 4890 .
URP 4910 - Planning for Climate Change (2),Graduate standing or C- or better in URP 3380 .,URP 4910A .
URP 4880L - Local Transportation Laboratory (1),"Graduate standing; OR C- or better in URP 3370 and URP 3370L , or URP 337 and URP 337L.",URP 4880 .
URP 4900 - Advanced GIS (2),Graduate standing or C- or better in URP 1200L .,URP 4900L .
URP 4870 - Environmental Policy (3),"Graduate standing; OR C- or better in URP 3510 and URP 3510A , or URP 351.",
URP 4890 - Transportation Methods and Analysis (2),"Graduate standing; OR C- or better in URP 3320 and URP 3320L , or URP 332 and URP 332L.",URP 4890L .
URP 4850 - Urban Design Principles and Techniques (2),"Graduate standing; OR C- or better in URP 2020 and URP 2020A , or URP 202 and URP 202L.",URP 4850L .
URP 4840 - Neighborhood Development (2),,URP 4840A .
URP 4880 - Local Transportation (2),"Graduate standing; OR C- or better in URP 3370 and URP 3370L , or URP 337 and URP 337L.",URP 4880L .
URP 4850L - Urban Design Principles and Techniques Laboratory (1),"Graduate standing; OR C- or better in URP 2020 and URP 2020A , or UPR 202 and URP 202L.",URP 4850 .
URP 4840A - Neighborhood Development Activity (1),,URP 4840 .
URP 4830 - Development Processes (2),"Graduate standing; OR C- or better in URP 3510 and URP 3510A , or URP 351.",URP 4830A .
URP 4780L - Spatial Analysis for Urban Planning Laboratory (1),Graduate standing or C- or better in URP 1200L .,URP 4780 .
URP 4820 - California Water (3),"Lower division GE requirements in Areas A and D, and sub-area B4.",
URP 4780 - Spatial Analysis for Urban Planning (2),Graduate standing or C- or better in URP 1200L .,URP 4780L .
URP 4830A - Development Processes Activity (1),"Graduate standing; OR C- or better in URP 3510 and URP 3510A , or URP 351.",URP 4830 .
URP 4760 - International Planning (3),,
URP 4750 - Planning in a Global Economy (3),"Lower division GE requirements in Areas A and D, and sub-area B4.",
URP 4510A - Land Use and Urban Design Policy Activity (1),"Graduate standing; OR C- or better in URP 2020 and URP 2020A , or UPR 202 and URP 202L.",URP 4510 .
URP 4510 - Land Use and Urban Design Policy (2),"Graduate standing; OR C- or better in URP 2020 and URP 2020A , or URP 202 and URP 202L.",URP 4510A .
URP 4390 - Infrastructure Finance (3),"Graduate standing; OR C- or better in URP 3370 and URP 3370L , or URP 337 and URP 337L.",
URP 4380 - Land Use Entitlements (3),"Graduate standing; OR C- or better in URP 3030 and URP 3030L , or URP 203 and URP 203L; and C- or better in URP 3510 and URP 3510A .",
URP 4660 - Environmental Assessment (3),"Graduate standing; OR C- or better in URP 3510 and URP 3510A , or URP 351.",
URP 4360 - Public Finance (3),"Graduate standing; OR C- or better in URP 3340 and URP 3340L , or URP 334 and URP 334A.",
URP 4240 - Public Participation (3),,
URP 4220 - The Just City (3),"Graduate standing; or Lower division GE requirements in Areas A and D, and sub-area B4.",
URP 4370 - Planning for Infrastructure (3),"Graduate standing; OR C- or better in URP 3370 and URP 3370L , or URP 337 and URP 337.",
URP 4230 - Planning with Minority Communities (3),,
URP 4330 - Affordable Housing Seminar (3),"C- or better in URP 1040 and URP 1040L , or URP 104; C- or better in URP 2010 and URP 2010L , or URP 299 and URP 299L; and C- or better in URP 3310 and URP 3310L , or UPR 331.",
URP 4340A - Community Development and Housing Activity (1),"C- or better in URP 1040 and URP 1040L , or URP 104; C- or better in URP 2010 and URP 2010L , or URP 299 and URP 299L; and C- or better in URP 3310 and URP 3310L , or URP 331.",
URP 4340 - Community Development and Housing (2),"C- or better in URP 1040 and URP 1040L , or URP 104; C- or better in URP 2010 and URP 2010L , or URP 299 and URP 299L; and C- or better in URP 3310 and URP 3310L , or UPR 331.",URP 4340A .
"URP 4210A - Planning Advocacy, Community Organizing and Social Change Activity (1)","C- or better in URP 1050 or URP 1051 , or URP 101 and URP 101A; or graduate standing.",URP 4210 .
URP 4110 - Evolution of American Cities and the Planning Movement (3),"Upper Division Standing; and Lower division GE requirements in Areas A and D, and sub-area B4.",
"URP 4200A - Methods of Engagement; Participation, Negotiation, Mediation Activity (1)","C- or better in URP 1050 or URP 1051 , or URP 101 and URP 101A; or graduate standing.",URP 4200 .
URP 4120 - Urban Design in Europe (3),"Lower division GE requirements in Areas A and D, and sub-area B4.",
"URP 4210 - Planning Advocacy, Community Organizing and Social Change (2)","C- or better in the following: URP 1050 or URP 1051 , or URP 101 and URP 101A; or graduate standing.",URP 4210A .
"URP 4200 - Methods of Engagement; Participation, Negotiation, Mediation (2)","C- or better in the following: URP 1050 or URP 1051 , or URP 101 and URP 101A; or graduate standing.",URP 4200A .
"URP 4040 - Placemaking: Theories, Methods, and Practices (3)","Lower division GE requirements in Areas A and C, and sub-area B4.",
URP 4000 - Special Study for Upper Division Students (1-3),,
URP 4030L - Physical Design Applications Laboratory (2),"C- or better in URP 2020 and URP 2020A , or URP 202 and URP 202L.",URP 4030 .
URP 6430 - Leadership and Ethics Seminar (1),"C- or better in URP 5120 , or URP 512 and URP 512A.",
URP 4030 - Physical Design Applications (1),"C- or better in URP 2020 and URP 2020A , or URP 202 and URP 202L.",URP 4030L .
URP 6420L - Graduate Planning Studio Laboratory (2),"C- or better in URP 6400 , or URP 641 and URP 641L.",URP 6420 .
URP 6400 - Graduate Studio Preparation (1),Advancement to candidacy.,
URP 6520 - Professional Practice for Urban and Regional Planning (1),"C- or better in URP 5010 , or URP 501 and URP 501L; and C- or better in URP 5120 , or URP 512 and URP 512A.",
URP 6420 - Graduate Planning Studio (2),"C- or better in URP 6400 , or URP 641 and URP 641L.",URP 6420L .
URP 5210 - Research Approaches to Planning (3),"C- or better in URP 5120 , or URP 512 and URP 512A.",URP 5210L .
URP 5120 - Planning Ideas and Actions (3),,
URP 5400 - Planning for Community Change (3),"C- or better in URP 5050 or URP 505; and C- or better in URP 5210 and URP 5210L , or URP 521 and URP 521L.",URP 5400L.
URP 5400L - Planning for Community Change Laboratory (1),"C- or better in URP 5050 or URP 505; and C- or better in URP 5210 and URP 5210L , or URP 521 and URP 521L.",URP 5400 .
URP 5060 - Land Use Planning Law and Intergovernmental Relations (3),,
URP 5210L - Research Approaches to Planning Laboratory (1),"C- or better in URP 5120 , or URP 512 and URP 512A.",URP 5210 .
URP 5050 - Planning and Place (3),,
URP 5070 - Planning for Environmental Sustainability (3),C- or better in URP 5060 or URP 506.,
URP 5010 - How Planning Works (1),,
SE 5170 - Healthcare Systems Engineering (3),,
SE 5160 - Facility Planning System (3),,
SE 5230 - System Architecture (3),,
SE 5140 - Emergency System and Cyber Security (3),,
SE 5180 - Human Systems Interaction (3),,
SE 5190 - Operations Research in System Analysis (3),,
SE 5110 - Advanced Engineering Economics (3),,
SE 5200 - System Simulation for Managers (3),,
SE 5150 - System Sustainability (3),,
SE 5130 - System Engineering Life Cycle Design and Management (3),,
EDD 7120 - Creating the Conditions for Student Success (3),Admission to Ed. Leadership Doctoral Program.,
EDD 7090 - Maximizing Fiscal and Human Resources for Student Success (3),Admission to Ed. Leadership Doctoral Program.,
SE 5100 - Introduction to Systems Science (3),,
EDD 7040 - Organizational Culture and Institutional Change (3),Admission to Ed. Leadership Doctoral Program.,
"EDD 7070 - Education Policy, Systemic Reform, and Social Justice (3)",Admission to Ed. Leadership Doctoral Program.,
EDD 7020L - Leading and Learning with Technology Laboratory (1),Admission to Ed. Leadership Doctoral Program.,
EDD 7190 - Research Learning Community Seminar: Dissertation Completion (1),Admission to Ed. Leadership Doctoral Program.,
EDD 7020 - Leading and Learning with Technology (2),Admission to Ed. Leadership Doctoral Program.,
EDD 8000 - Dissertation (1-6),Admission to Ed. Leadership Doctoral Program.,
EDD 7100 - Research Learning Community Seminar: Literature Review (1),,
EDD 7150 - Research Learning Community Seminar: Development of a Dissertation Proposal (3),Admission to Ed. Leadership Doctoral Program.,
EDD 7180 - Research Learning Community Seminar: Dissertation (1),Admission to Ed. Leadership Doctoral Program.,
EDD 7110 - Advanced Quantitative Research (3),Admission to Ed. Leadership Doctoral Program.,
EDD 7010 - Research Learning Community Seminar: Introduction to Doctoral Studies and Dissertation Research (3),Admission to Ed. Leadership Doctoral Program.,
EDD 7111 - Advanced Qualitative Research (3),Admission to Ed. Leadership Doctoral Program.,
"EDD 7170 - Global Perspectives on Educational Leadership, Achievement, and Equity (3)",Admission to Ed. Leadership Doctoral Program.,
EDD 7030 - Quantitative Research Methods for School Improvement (3),Admission to Ed. Leadership Doctoral Program.,
EDD 7060 - Qualitative Methods for School Improvement (3),Admission to Ed. Leadership Doctoral Program.,
EDD 7080 - Building School/Community Partnerships for Student Success (3),Admission to Ed. Leadership Doctoral Program.,
EDD 7140 - Leadership for Equity and Advocacy (3),Admission to Ed. Leadership Doctoral Program.,
"EDD 7160 - Synthesizing Key Concepts of Ethics, Equity, and Social Justice for Transformational leadership (3)",Admission to Ed. Leadership Doctoral Program.,
EDD 7000 - Leadership for Learning (3),Admission to Ed. Leadership Doctoral Program.,
ACC 4510 - Accounting Information Systems (3),"C or better in ACC 3110 or ACC 311; and GWT*, CPU 4010 *, or CPU 401*.",
ACC 3120 - Intermediate Accounting II (3),"C or better in ACC 3110 , or ACC 311 and ACC 312; and GWT*, CPU 4010 *, or CPU 401*.",
ACC 4810 - Auditing (3),"C or better in ACC 3110 , or ACC 311 and ACC 312; C or better in TOM 3020 or TOM 302; and GWT*, CPU 4010 *, or CPU 401*.",
"NTR 5450 - Current Topics in Clinical Practice I, II (2)","Bachelor's degree, verification statement approved by Accreditation Council for Education in Nutrition and Dietetics; and accepted into CPP Dietetic Internship Program.",NTR 5600 .
ACC 4310 - Introduction to Taxation (3),"C or better in ACC 3110 , or ACC 311 and ACC 312; and GWT*, CPU 4010 *, or CPU 401*.",
ACC 3210 - Cost Accounting (3),"C or better in ACC 2070 or ACC 207/ACC 207A; ACC 2080 or ACC 208/ACC 208A; EC 2201 or EC 201; EC 2202 or EC 202; GE Area A2; FRL 2013 or FRL 201; MAT 1250 or MAT 125, MAT 114 and MAT 115, or MAT 1140 ; and STA 1200 or STA 120.",
ACC 3110 - Intermediate Accounting I (3),"C or better in ACC 2070 or ACC 207/ACC 207A; ACC 2080 or ACC 208/ACC 208A; EC 2201 or EC 201; EC 2202 or EC 202; GE Area A2; FRL 2013 or FRL 201; MAT 1250 or MAT 125, MAT 114 and MAT 115, or MAT 1140 ; and STA 1200 or STA 120.",
HRT 6950 - Master's Project (3),,
HRT 6960 - Master's Thesis (3),,
HST 6960 - Master's Thesis (3),History graduate standing.,
GSC 6960 - Master's Thesis (2),GSC 694 or GSC 6940 .,
GSC 5340 - Quaternary Geology (2),"GSC 323, GSC 3230 or Instructor Consent.",GSC 5340L .
ENG 6970 - Comprehensive Examination (1),English Graduate Coordinator Permission and GWT*.,
EMT 6950 - Master's Project (3),,
ENG 5880 - Emerging Issues in Literature (3),Graduate Standing.,
ECE 6960 - Master's Degree Thesis (1-3),,
ERA 6970 - Comprehensive Exam (3),"Admitted to Master's in Education, graduate standing, and advancement to candidacy.",
EDL 5500 - Learning to Lead Content Module II; Organizational & Systems Leadership (3),Admitted to Preliminary ASC Program.,
ERA 6960 - Master's Degree Thesis (1-6),,
EDL 5480 - Theory & Practice III; Community Leadership (3),Admitted to Preliminary ASC Program.,
ERA 6990 - Master's Degree Continuation (0),,
EC 6655 - International Trade (3),EC 5550 or EC 550.,
EC 6960 - Master's Degree Thesis (3),Graduate standing and Graduate Writing Assessment passed*.,
EDL 5530 - Schoolwide Change Initiative & Candidate Assessment (3),"Admitted to Preliminary ASC Program; and B or better in EDL 5460 , EDL 5470 , EDL 5490 , EDL 5500 , EDL 5510 and EDL 5520 .",
EC 6693 - Graduate Research Practicum II (3),EC 5550 or EC 550; and EC 6692 or EC 692.,
TOM 6880 - Negotiation and Persuasion in Supply Chains (1),,
EC 6692 - Graduate Research Practicum I (3),EC 5550 or EC 550; and EC 5551 or EC 551; and EC 5503 or EC 503.,
EC 6660 - Graduate Public Finance (3),EC 5550 or EC 550.,
IBM 6510 - Foundations of Customer Analytics (3),,
TOM 6870 - Team Dynamics in Supply Chain Management (1),,
IBM 6800 - Data-Driven Digital Marketing Strategy I (2),,
IBM 6600 - Text Analysis for Digital Marketing (2),IBM 6500 and IBM 6510.,
IBM 6950 - Data-Driven Digital Marketing Strategy II (2),,
NTR 6970 - Comprehensive Exam (1),"<div> <p>NTR 5100, NTR 5200, NTR 6594, and NTR 6595.</p> </div>",
NTR 6960 - Master's Thesis Defense (2),Graduate standing and Instructor consent.,NTR 6940 .
NTR 6360 - Advanced Nutrition Lifecycle II (Pediatrics) (3),"NTR 5360 , NTR 5440 , and completion of accredited Baccalaureate degree requirements as specified by the Accreditation Council for Education in Nutrition and Dietetics; or permission of the instructor.",
NTR 5460 - Obesity and Chronic Disease (3),"NTR 5360 or equivalent, and completion of accredited Baccalaureate degree requirements as specified by the Accreditation Council for Education in Nutrition and Dietetics; or permission of the instructor.",
NTR 5620 - Integrated Nutrition and Functional Medicine (3),"NTR 5430 or equivalent, and completion of accredited Baccalaureate degree requirements as specified by the Accreditation Council for Education in Nutrition and Dietetics; or permission of the instructor.",
TOM 6970 - Comprehensive Examination (1),,"TOM 6090 , TOM 6340 , TOM 6410 , TOM 6030 , TOM 6320 , GBA 6210 , TOM 6200 , GBA 6420 , TOM 6250 , TOM 6870 , and TOM 6880 ."
NTR 6850 - Nutrition in Sports and Exercise (3),NTR 3930 or FN 434.,NTR 5100 .
CS 6960 - Master's Degree Thesis (1-3),"CS 691 or CS 6940 , GWT*, Advancement to Candidacy, and approval of thesis committee.",
CS 6950 - Master's Degree Project (1),"CS 691 or CS 6940 , GWT*, Advancement to Candidacy, and approval of project committee.",
CS 6990 - Master's Degree Continuation (0),,
CS 6910 - Directed Research (1-3),,
CS 5990 - Special Topics for Graduate Students (1-3),Graduate Standing.,
CS 5750 - Topics in Database Systems (3),CS 435 or CS 4350 .,
CS 5860 - Software Metrics and Models (3),CS 480 or CS 4800 .,
CS 5660 - Distributed Computing Systems (3),CS 380 or CS 3800 .,
CS 5850 - Software Verification and Validation (3),,
CS 5520 - Machine Learning for Cyber Security (3),"C or better in CS 3310, or consent of instructor. Knowlegability in Python preferred.",
CS 5700 - Human Computer Interaction (3),CS 311 or CS 3110 .,
CS 5560 - Game Theory and its Applications in Communication Networks (3),"CS 3800 or CS 380, or consent of instructor.",
CS 5650 - Advanced Computer Networks (3),CS 380 or CS 3800 .,
CS 5510 - Data Privacy and Security (3),C or better in CS 3310.,
CS 5500 - Advanced Information Security (3),CS 380 or CS 3800 .,
CS 5550 - Digital Image Processing (3),CS 331 or CS 3310 ; and C or better in MAT 214 or MAT 2250 .,
CS 5350 - Parallel and Distributed Algorithms (3),CS 331 or CS 3310 .,
CS 5370 - Scheduling Algorithms (3),CS 530 or CS 5300 .,
CS 5400 - Topics in Compiler Design (3),CS 411 or CS 4110 .,
CS 5220 - Distributed Intelligence in Robotics (3),CS 331 or CS 3310 ; and CS 256 or CS 2560 .,
CS 5190 - Computer Vision (3),"CS 410, CS 331 or CS 3310 .",
CS 5310 - Computability and Complexity Theory (3),CS 311 or CS 3110 ; and CS 331 or CS 3310 .,
CS 5180 - Information Retrieval (3),CS 331 or CS 3310 .,
CS 5100 - Computer-Assisted Instruction (3),CS 420 or CS 4200 .,
CS 5210 - Robotics (3),"CS 410, CS 331 or CS 3310 ; and CS 256 or CS 2560 .",
CS 6640 - Graduate Seminar (1),Unconditional standing.,
CS 5170 - Natural Language Processing (3),CS 331 or CS 3310 .,
NTR 6595 - Qualitative Research II (2),,NTR 6594.
CS 5800 - Advanced Software Engineering (3),CS 480 or CS 4800 .,
CS 5250 - Advanced Computer Architecture (3),CS 365 or CS 3650 .,
CS 5300 - Advanced Algorithm Design and Analysis (3),CS 331 or CS 3310 .,
NTR 6594 - Qualitative Research I (3),NTR 5100 and NTR 5200.,
NTR 6940 - Thesis Research (1-3),Instructor consent.,NTR 6930 .
NTR 6446 - Community Nutrition (3),"NTR 5446 or equivalent, and completion of accredited Baccalaureate degree requirements as specified by the Accreditation Council for Education in Nutrition and Dietetics; or permission of the instructor.",
